0	0
1	1
2	1
3	0
4	0
5	0
6	1
7	1
8	0
9	0
10	1
11	0
12	0
13	1
14	1
15	0
16	0
17	1
18	1
19	0
20	0
21	0
22	1
23	1
24	0
25	0
26	1
27	1
28	0
29	0
30	1
31	1
32	0
33	1
34	1
35	0
36	0
37	0
38	1
39	1
40	1
41	0
42	0
43	1
44	1
45	0
46	0
47	1
48	1
49	0
50	0
51	1
52	1
53	0
54	0
55	1
56	1
57	0
58	0
59	0
60	1
61	1
62	0
63	0
64	1
65	1
66	0
67	1
68	1
69	1
70	0
71	0
72	1
73	1
74	1
75	0
76	0
77	1
78	1
79	0
80	0
81	1
82	1
83	0
84	0
85	1
86	1
87	0
88	1
89	0
90	0
91	1
92	0
93	0
94	1
95	1
96	0
97	0
98	0
99	1
100	1
101	0
102	1
103	0
104	1
105	1
106	0
107	0
108	0
109	0
110	1
111	1
112	1
113	1
114	0
115	0
116	0
117	1
118	0
119	1
120	1
121	0
122	0
123	0
124	1
125	1
126	0
127	0
128	1
129	1
130	0
131	0
132	1
133	1
134	0
135	1
136	1
137	1
138	0
139	0
140	0
141	0
142	1
143	1
144	0
145	0
146	0
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	0
163	0
164	0
165	1
166	0
167	1
168	0
169	1
170	1
171	0
172	0
173	1
174	0
175	1
176	1
177	0
